Tanggal,Tingkat Hunian (%),Harga Rata-rata (Rp)
2023-08-15,51,247693
2023-08-16,67,380403
2023-08-17,63,361357
2023-08-18,67,415331
2023-08-19,84,328991
2023-08-20,88,365679
2023-08-21,50,216231
2023-08-22,68,247362
2023-08-23,52,175045
2023-08-24,62,230422
2023-08-25,70,389878
2023-08-26,77,456140
2023-08-27,86,525939
2023-08-28,73,392189
2023-08-29,98,396406
2023-08-30,77,458246
2023-08-31,64,354251
2023-09-01,81,360278
2023-09-02,90,479905
2023-09-03,86,503513
2023-09-04,88,410782
2023-09-05,83,369859
2023-09-06,78,477015
2023-09-07,72,353431
2023-09-08,51,258614
2023-09-09,57,268107
2023-09-10,84,368497
2023-09-11,92,388142
2023-09-12,97,582457
2023-09-13,82,486402
2023-09-14,95,554027
2023-09-15,59,378951
2023-09-16,87,385120
2023-09-17,67,297445
2023-09-18,76,302096
2023-09-19,95,420154
2023-09-20,55,323848
2023-09-21,84,417237
2023-09-22,68,438850
2023-09-23,52,216266
2023-09-24,52,238124
2023-09-25,53,358830
2023-09-26,98,390795
2023-09-27,78,310764
2023-09-28,57,189795
2023-09-29,87,346287
2023-09-30,71,397572
2023-10-01,52,296172
2023-10-02,69,415913
2023-10-03,69,302078
2023-10-04,51,257979
2023-10-05,98,549180
2023-10-06,77,456454
2023-10-07,53,242241
2023-10-08,80,320183
2023-10-09,90,464820
2023-10-10,67,261202
2023-10-11,90,399299
2023-10-12,92,494292
2023-10-13,80,444146
2023-10-14,57,346940
2023-10-15,80,371879
2023-10-16,73,294550
2023-10-17,89,408294
2023-10-18,93,483104
2023-10-19,52,166605
2023-10-20,57,288053
2023-10-21,62,319618
2023-10-22,72,359397
2023-10-23,59,208905
2023-10-24,56,378193
2023-10-25,77,342897
2023-10-26,63,256731
2023-10-27,94,504655
2023-10-28,57,237682
2023-10-29,77,322324
2023-10-30,55,309007
2023-10-31,52,170429
2023-11-01,94,567960
2023-11-02,93,507502
2023-11-03,86,375184
2023-11-04,61,241330
2023-11-05,95,503655
2023-11-06,78,489911
2023-11-07,74,413066
2023-11-08,73,345232
2023-11-09,79,476132
2023-11-10,95,475315
2023-11-11,84,452476
2023-11-12,86,504185
2023-11-13,56,333538
2023-11-14,98,449251
2023-11-15,58,318395
2023-11-16,62,354817
2023-11-17,56,269163
2023-11-18,85,471514
2023-11-19,51,160540
2023-11-20,57,355317
2023-11-21,80,445124
2023-11-22,65,313587
2023-11-23,62,386410
2023-11-24,68,371947
2023-11-25,78,290161
2023-11-26,96,496781
2023-11-27,70,348784
2023-11-28,78,346136
2023-11-29,57,329768
2023-11-30,61,232959
2023-12-01,70,377927
2023-12-02,71,410733
2023-12-03,69,254420
2023-12-04,62,408681
2023-12-05,59,368629
2023-12-06,71,423396
2023-12-07,57,369328
2023-12-08,92,452298
2023-12-09,67,423483
2023-12-10,64,367065
2023-12-11,83,332540
2023-12-12,95,488538
2023-12-13,99,573067
2023-12-14,61,320777
2023-12-15,88,421654
2023-12-16,82,356641
2023-12-17,98,412565
2023-12-18,82,363433
2023-12-19,66,310202
2023-12-20,56,217670
2023-12-21,53,338374
2023-12-22,69,254894
2023-12-23,55,309850
2023-12-24,73,314773
2023-12-25,73,437133
2023-12-26,72,416425
2023-12-27,58,206076
2023-12-28,78,468745
2023-12-29,96,528747
2023-12-30,67,385025
2023-12-31,68,267480
2024-01-01,73,451672
2024-01-02,62,311488
2024-01-03,71,419273
2024-01-04,96,462058
2024-01-05,98,446393
2024-01-06,74,425158
2024-01-07,85,373311
2024-01-08,58,290151
2024-01-09,95,416856
2024-01-10,92,476229
2024-01-11,90,449947
2024-01-12,96,406065
2024-01-13,50,196832
2024-01-14,65,358435
2024-01-15,75,369283
2024-01-16,87,438017
2024-01-17,57,354099
2024-01-18,61,282211
2024-01-19,88,380978
2024-01-20,87,346708
2024-01-21,50,179563
2024-01-22,79,342564
2024-01-23,70,302471
2024-01-24,77,378710
2024-01-25,71,441442
2024-01-26,89,446204
2024-01-27,88,425042
2024-01-28,64,316579
2024-01-29,79,347538
2024-01-30,59,332984
2024-01-31,99,575948
2024-02-01,52,310474
2024-02-02,66,344139
2024-02-03,94,551422
2024-02-04,79,460478
2024-02-05,74,298670
2024-02-06,53,203345
2024-02-07,66,343589
2024-02-08,70,331358
2024-02-09,85,384810
2024-02-10,98,408969
2024-02-11,57,203830
2024-02-12,70,436928
2024-02-13,58,369188
2024-02-14,65,301078
2024-02-15,60,318587
2024-02-16,97,490929
2024-02-17,83,327006
2024-02-18,65,321018
2024-02-19,52,231325
2024-02-20,98,456639
2024-02-21,60,349132
2024-02-22,86,406734
2024-02-23,60,355404
2024-02-24,57,274528
2024-02-25,94,540954
2024-02-26,64,262699
2024-02-27,91,369562
2024-02-28,89,382264
2024-02-29,66,259005
2024-03-01,64,256067
2024-03-02,60,392784
2024-03-03,55,227161
2024-03-04,83,368330
2024-03-05,82,488215
2024-03-06,76,395078
2024-03-07,61,401918
2024-03-08,68,312310
2024-03-09,72,392793
2024-03-10,95,498829
2024-03-11,87,435476
2024-03-12,67,386031
2024-03-13,57,322037
2024-03-14,60,340699
2024-03-15,90,453270
2024-03-16,89,490586
2024-03-17,99,429187
2024-03-18,67,316007
2024-03-19,59,389101
2024-03-20,81,357049
2024-03-21,55,267552
2024-03-22,65,235064
2024-03-23,53,298744
2024-03-24,80,302045
2024-03-25,53,347781
2024-03-26,77,440527
2024-03-27,91,533455
2024-03-28,68,346718
2024-03-29,61,358735
2024-03-30,81,334430
2024-03-31,79,319722
2024-04-01,91,450251
2024-04-02,70,292636
2024-04-03,54,345897
2024-04-04,77,469421
2024-04-05,64,293346
2024-04-06,70,401284
2024-04-07,69,338158
2024-04-08,76,345929
2024-04-09,51,218801
2024-04-10,77,389567
2024-04-11,74,458628
2024-04-12,64,329461
2024-04-13,71,437506
2024-04-14,79,312089
2024-04-15,66,257786
2024-04-16,89,347025
2024-04-17,60,273088
2024-04-18,68,436619
2024-04-19,90,381153
2024-04-20,72,390705
2024-04-21,52,223839
2024-04-22,98,527303
2024-04-23,71,363431
2024-04-24,84,355595
2024-04-25,94,533639
2024-04-26,82,324248
2024-04-27,66,410054
2024-04-28,66,387070
2024-04-29,97,561391
2024-04-30,78,368227
2024-05-01,56,230711
2024-05-02,53,174045
2024-05-03,77,360735
2024-05-04,98,454003
2024-05-05,77,440234
2024-05-06,71,423056
2024-05-07,56,306343
2024-05-08,94,426562
2024-05-09,53,331078
2024-05-10,98,446431
2024-05-11,77,330723
2024-05-12,82,445024
2024-05-13,99,486315
2024-05-14,70,390740
2024-05-15,65,281561
2024-05-16,67,278663
2024-05-17,54,266010
2024-05-18,88,459116
2024-05-19,86,488673
2024-05-20,73,431598
2024-05-21,51,329376
2024-05-22,55,257239
2024-05-23,85,391188
2024-05-24,81,399785
2024-05-25,73,427141
2024-05-26,88,348306
2024-05-27,77,431960
2024-05-28,88,481484
2024-05-29,91,403683
2024-05-30,92,417203
2024-05-31,99,467554
2024-06-01,88,354031
2024-06-02,66,412659
2024-06-03,83,351124
2024-06-04,87,458741
2024-06-05,53,267383
2024-06-06,60,239308
2024-06-07,77,286133
2024-06-08,61,292549
2024-06-09,64,236680
2024-06-10,92,474395
2024-06-11,52,285187
2024-06-12,87,412315
2024-06-13,57,238744
2024-06-14,59,373649
2024-06-15,86,378103
2024-06-16,72,403467
2024-06-17,92,404470
2024-06-18,57,357432
2024-06-19,97,525323
2024-06-20,59,375142
2024-06-21,71,425074
2024-06-22,61,325039
2024-06-23,83,379299
2024-06-24,59,296144
2024-06-25,75,340801
2024-06-26,78,375090
2024-06-27,84,421924
2024-06-28,99,580157
2024-06-29,91,421480
2024-06-30,73,435699
2024-07-01,75,420933
2024-07-02,75,401325
2024-07-03,75,409747
2024-07-04,70,401755
2024-07-05,54,353837
2024-07-06,60,336110
2024-07-07,52,299765
2024-07-08,99,402238
2024-07-09,72,428449
2024-07-10,83,399165
2024-07-11,96,467274
2024-07-12,64,231846
2024-07-13,76,390551
2024-07-14,72,329475
2024-07-15,55,302619
2024-07-16,53,337797
2024-07-17,52,207802
2024-07-18,58,306148
2024-07-19,75,359389
2024-07-20,93,528546
2024-07-21,52,173102
2024-07-22,53,234776
2024-07-23,99,445451
2024-07-24,89,393138
2024-07-25,89,367996
2024-07-26,81,460773
2024-07-27,84,380260
2024-07-28,93,502488
2024-07-29,82,462206
2024-07-30,86,508773
2024-07-31,87,472181
2024-08-01,66,362799
2024-08-02,88,434570
2024-08-03,93,446765
2024-08-04,90,467806
2024-08-05,81,430306
2024-08-06,81,457670
2024-08-07,54,253499
2024-08-08,77,472884
2024-08-09,84,353725
2024-08-10,87,410228
2024-08-11,75,409439
2024-08-12,51,199747
2024-08-13,52,222323
2024-08-14,56,280157
2024-08-15,57,263461
2024-08-16,50,176111
2024-08-17,68,366173
2024-08-18,62,390183
2024-08-19,64,302503
2024-08-20,92,479011
2024-08-21,84,376371
2024-08-22,93,388006
2024-08-23,95,491884
2024-08-24,94,501898
2024-08-25,91,361776
2024-08-26,93,426811
2024-08-27,58,262056
2024-08-28,59,336015
2024-08-29,58,364189
2024-08-30,56,204032
2024-08-31,55,226814
2024-09-01,94,530343
2024-09-02,75,347465
2024-09-03,50,171773
2024-09-04,88,366969
2024-09-05,98,536728
2024-09-06,85,513590
2024-09-07,95,436732
2024-09-08,69,406002
2024-09-09,79,448211
2024-09-10,68,320590
2024-09-11,87,488721
2024-09-12,94,420636
2024-09-13,51,272202
2024-09-14,82,497788
2024-09-15,68,293808
2024-09-16,50,222805
2024-09-17,58,316557
2024-09-18,81,307531
2024-09-19,68,243539
2024-09-20,91,455775
2024-09-21,84,340897
2024-09-22,63,364862
2024-09-23,81,474459
2024-09-24,90,493473
2024-09-25,80,431822
2024-09-26,55,193915
2024-09-27,70,321040
2024-09-28,69,324180
2024-09-29,58,279233
2024-09-30,56,361819
2024-10-01,52,259493
2024-10-02,72,396149
2024-10-03,86,500076
2024-10-04,74,282024
2024-10-05,55,205829
2024-10-06,64,229099
2024-10-07,69,419660
2024-10-08,99,565016
2024-10-09,74,360536
2024-10-10,74,337313
2024-10-11,84,489244
2024-10-12,99,511208
2024-10-13,51,238082
2024-10-14,52,357795
2024-10-15,75,353980
2024-10-16,77,335902
2024-10-17,90,364642
2024-10-18,85,391514
2024-10-19,99,446523
2024-10-20,53,321194
2024-10-21,68,246693
2024-10-22,95,558031
2024-10-23,65,414703
2024-10-24,71,281190
2024-10-25,56,186000
2024-10-26,79,379530
2024-10-27,67,315549
2024-10-28,53,188592
2024-10-29,72,274737
2024-10-30,72,297688
2024-10-31,81,325417
2024-11-01,55,339749
2024-11-02,73,305913
2024-11-03,53,178040
2024-11-04,96,502964
2024-11-05,61,371460
2024-11-06,89,453979
2024-11-07,56,349931
2024-11-08,76,372971
2024-11-09,93,440314
2024-11-10,70,328735
2024-11-11,68,418860
2024-11-12,69,341086
2024-11-13,63,281003
2024-11-14,58,344819
2024-11-15,53,225010
2024-11-16,74,312948
2024-11-17,66,315374
2024-11-18,64,267495
2024-11-19,93,521748
2024-11-20,63,298743
2024-11-21,66,306717
2024-11-22,52,196860
2024-11-23,99,550423
2024-11-24,68,380005
2024-11-25,89,357836
2024-11-26,87,471740
2024-11-27,80,395902
2024-11-28,76,372786
2024-11-29,76,438031
2024-11-30,50,246881
2024-12-01,90,537969
2024-12-02,56,196202
2024-12-03,74,346314
2024-12-04,87,513028
2024-12-05,96,437311
2024-12-06,98,478127
2024-12-07,94,420023
2024-12-08,71,389404
2024-12-09,62,226683
2024-12-10,66,271578
2024-12-11,86,333042
2024-12-12,58,192215
2024-12-13,66,306919
2024-12-14,64,349248
2024-12-15,72,378361
2024-12-16,81,337398
2024-12-17,84,332981
2024-12-18,76,324362
2024-12-19,76,436340
2024-12-20,59,297829
2024-12-21,69,254955
2024-12-22,60,360646
2024-12-23,83,505860
2024-12-24,87,472548
2024-12-25,92,448072
2024-12-26,85,411572
2024-12-27,50,234087
2024-12-28,81,437735
2024-12-29,64,404454
2024-12-30,88,439019
2024-12-31,98,489482
2025-01-01,85,380445
2025-01-02,63,316322
2025-01-03,76,337977
2025-01-04,79,386067
2025-01-05,70,434939
2025-01-06,99,514720
2025-01-07,99,459815
2025-01-08,68,262423
2025-01-09,95,550601
2025-01-10,68,421548
2025-01-11,89,489237
2025-01-12,96,413960
2025-01-13,68,371147
2025-01-14,78,355394
2025-01-15,57,187362
2025-01-16,87,466786
2025-01-17,69,313816
2025-01-18,64,221837
2025-01-19,78,465922
2025-01-20,93,430846
2025-01-21,51,278532
2025-01-22,69,271033
2025-01-23,53,223816
2025-01-24,66,283268
2025-01-25,69,323858
2025-01-26,54,263943
2025-01-27,84,477764
2025-01-28,52,322201
2025-01-29,55,364625
2025-01-30,88,358900
2025-01-31,79,410658
2025-02-01,82,362291
2025-02-02,88,460978
2025-02-03,58,258221
2025-02-04,88,369246
2025-02-05,95,533598
2025-02-06,73,381519
2025-02-07,55,339532
2025-02-08,86,399603
2025-02-09,93,519779
2025-02-10,91,506808
2025-02-11,99,589802
2025-02-12,76,432701
2025-02-13,60,278004
2025-02-14,57,199780
2025-02-15,67,329659
2025-02-16,75,281263
2025-02-17,57,265928
2025-02-18,50,289305
2025-02-19,97,578946
2025-02-20,95,514489
2025-02-21,83,389843
2025-02-22,68,418249
2025-02-23,65,364958
2025-02-24,73,369260
2025-02-25,83,365151
2025-02-26,75,307817
2025-02-27,74,346911
2025-02-28,68,340483
2025-03-01,96,387509
2025-03-02,62,289081
2025-03-03,71,438834
2025-03-04,76,410010
2025-03-05,52,319148
2025-03-06,84,328064
2025-03-07,83,442462
2025-03-08,94,425439
2025-03-09,53,236246
2025-03-10,83,418274
2025-03-11,75,469267
2025-03-12,71,331741
2025-03-13,92,387155
2025-03-14,64,228307
2025-03-15,65,286659
2025-03-16,96,475127
2025-03-17,51,235628
2025-03-18,57,239796
2025-03-19,60,319539
2025-03-20,66,271287
2025-03-21,89,406722
2025-03-22,62,214423
2025-03-23,93,398378
2025-03-24,84,425088
2025-03-25,67,408813
2025-03-26,65,245925
2025-03-27,55,330531
2025-03-28,79,339149
2025-03-29,54,338945
2025-03-30,90,396367
2025-03-31,85,411938
2025-04-01,56,377331
2025-04-02,98,538806
2025-04-03,98,495980
2025-04-04,77,297473
2025-04-05,76,349846
2025-04-06,97,503260
2025-04-07,68,332233
2025-04-08,72,372338
2025-04-09,88,431448
2025-04-10,87,433871
2025-04-11,87,444293
2025-04-12,53,268296
2025-04-13,60,212430
2025-04-14,64,395809
2025-04-15,67,264044
2025-04-16,99,555483
2025-04-17,94,488220
2025-04-18,63,239296
2025-04-19,55,300153
2025-04-20,57,206704
2025-04-21,61,219310
2025-04-22,69,322614
2025-04-23,52,252104
2025-04-24,89,473414
2025-04-25,75,333404
2025-04-26,62,260598
2025-04-27,78,294710
2025-04-28,62,310413
2025-04-29,88,402350
2025-04-30,66,378724
2025-05-01,95,571687
2025-05-02,96,550770
2025-05-03,56,273588
2025-05-04,68,241741
2025-05-05,72,285247
2025-05-06,52,185546
2025-05-07,53,354263
2025-05-08,50,289982
2025-05-09,95,505374
2025-05-10,82,325124
2025-05-11,96,400968
2025-05-12,64,234467
2025-05-13,82,507362
2025-05-14,83,383202
2025-05-15,62,254234
2025-05-16,73,268564
2025-05-17,64,230873
2025-05-18,98,507243
2025-05-19,91,391028
2025-05-20,70,287191
2025-05-21,77,398958
2025-05-22,51,201898
2025-05-23,95,446494
2025-05-24,63,266252
2025-05-25,94,448488
2025-05-26,96,508056
2025-05-27,85,445890
2025-05-28,98,484732
2025-05-29,77,365486
2025-05-30,86,424544
2025-05-31,53,185870
2025-06-01,82,475229
2025-06-02,52,313891
2025-06-03,95,473594
2025-06-04,64,368015
2025-06-05,81,490719
2025-06-06,86,504821
2025-06-07,51,327578
2025-06-08,97,497594
2025-06-09,77,416319
2025-06-10,60,320008
2025-06-11,69,299525
2025-06-12,76,322469
2025-06-13,85,354605
2025-06-14,81,306429
2025-06-15,63,325971
2025-06-16,71,422549
2025-06-17,80,459910
2025-06-18,74,332475
2025-06-19,53,254062
2025-06-20,93,488481
2025-06-21,51,311889
2025-06-22,59,198661
2025-06-23,67,244760
2025-06-24,87,498936
2025-06-25,94,486086
2025-06-26,53,223105
2025-06-27,76,328347
2025-06-28,50,221581
2025-06-29,61,265474
2025-06-30,99,431875
2025-07-01,72,355969
2025-07-02,80,421072
2025-07-03,55,313929
2025-07-04,97,478367
2025-07-05,51,258181
2025-07-06,86,354935
2025-07-07,94,500748
2025-07-08,86,528146
2025-07-09,52,259328
2025-07-10,74,363256
2025-07-11,86,389455
2025-07-12,61,235736
2025-07-13,96,512158
2025-07-14,94,387421
2025-07-15,55,194514
2025-07-16,91,393873
2025-07-17,64,334754
2025-07-18,86,480797
2025-07-19,87,498934
2025-07-20,83,354067
2025-07-21,87,347778
2025-07-22,60,355872
2025-07-23,85,456802
2025-07-24,82,413467
2025-07-25,95,501145
2025-07-26,74,448180
2025-07-27,78,399727
2025-07-28,84,446598
2025-07-29,55,270533
2025-07-30,99,415808
2025-07-31,68,274813
2025-08-01,96,527035
2025-08-02,76,287293
2025-08-03,51,276800
2025-08-04,85,406676
2025-08-05,63,291640
2025-08-06,70,346581
2025-08-07,86,407460
2025-08-08,99,464675
2025-08-09,86,451180
2025-08-10,91,504888
2025-08-11,88,396909
2025-08-12,89,523977
2025-08-13,97,558333
2025-08-14,51,164482
2025-08-15,79,442059
2025-08-16,93,491642
2025-08-17,57,270511
2025-08-18,92,541325
2025-08-19,97,388996
2025-08-20,69,362912
2025-08-21,65,327551
2025-08-22,99,438892
2025-08-23,62,354733
2025-08-24,80,353890
2025-08-25,95,425177
2025-08-26,73,425298
2025-08-27,87,506628
2025-08-28,85,350422
2025-08-29,76,449318
2025-08-30,72,442738
2025-08-31,77,448847
2025-09-01,78,376611
2025-09-02,61,309263
2025-09-03,50,319670
2025-09-04,67,361106
2025-09-05,96,414567
2025-09-06,92,362045
2025-09-07,78,435251
2025-09-08,96,465708
2025-09-09,86,482486
2025-09-10,94,400404
2025-09-11,56,378964
2025-09-12,51,228272
2025-09-13,96,417227
2025-09-14,84,440726
2025-09-15,99,494463
2025-09-16,91,455855
2025-09-17,61,272900
2025-09-18,97,471877
2025-09-19,83,429228
2025-09-20,96,510737
2025-09-21,92,431581
2025-09-22,61,279889
2025-09-23,62,322506
2025-09-24,60,294045
2025-09-25,54,349304
2025-09-26,80,481654
